CAR_1_EXIT,3.920
SWAP,9.233
CAR_2_ENTER,4.849
CAR_2_PAY,3.454
INVASOR
CAR_1_EXIT,CAR_1_EXIT,CAR_1_EXIT,0.498
SWAP,0.055
CAR_2_ENTER,CAR_1_EXIT,CAR_1_EXIT,0.044
